folio	line	pos	token
f1	11	8	lcchedydchttesheeetiq
f1	11	9	ainqotetechqamotcheyol
f1	11	10	teeechqdeamqokycheinlh
f1	11	11	tydeotcheollhqoptarqotq
f1	11	12	olrhqoolaineiinaiinrcch
f1	11	13	archedyainokchedyainiinainaral
f1	11	14	chedyainiinainorokshchedyaiinte
f1	11	15	ainokrchdorlcokchedyoldo
f1	11	16	ainrchedyardorshteshedoain
f1	11	17	chedylcoldosheaintydaropin
f1	11	18	alopdotykootiinainqokche
f1	11	19	otqokaldarokainkochykaiin
f1	11	20	ainchealqdarkochedkqopiin
f1	11	21	chykkeaiinainalqyyqo
f1	11	22	ainqopcheykeyshedyqoaiinrhqo
f1	11	23	ainaldcheykeshedycheyaiinyl
f1	11	24	qopalcheyyqoaiinaiinyall
f1	11	25	dlcshedyaiinyrhqoalliin
f1	11	26	tikyaiinaiinkeainaiindarcheok
f1	11	27	koiinokdedyrctdishediin
f1	11	28	koainychcheqokokdedyshed
f1	11	29	ainolokearqarcotkyt
f1	11	30	olchedysharqalcchedyelct
f1	12	1	delcqosheeeiincheyqched
f1	12	2	lctaiineetichedolqokycheko
f1	12	3	tteltyeeqoktecheinlh
f1	12	4	dortarolrhdodochedyaiinlal
f1	12	5	tarrhdoainlcqqchedyorch
f1	12	6	chedychedyrrcqqiinokqokaiin
f1	12	7	rqchedyorshyaiinolteqop
f1	12	8	iinrardorldodoaintydar
f1	12	9	dorlcokintedoshedoainin
f1	12	10	oldoshetyokopincheolshedch
f1	12	11	darqopsheddeshedyqadyalaiin
f1	12	12	shedyaindodarkochedchyqopiin
f1	12	13	ainokainchedkedorqopaldq
f1	12	14	ainkotodorqopeyshedyyqo
f1	12	15	chedtoainaiinqoeshedshedyqokyky
f1	12	16	deyqokykydykerhdarch
f1	12	17	shedaiinaiinyaindarliinedy
f1	12	18	aiinainaiiniincherctdicheol
f1	12	19	qoaiinainchelolderciincheol
f1	12	20	qokearderclccheyyaiincheol
f1	12	21	cheolrcrcqokcheollccheolshety
f1	12	22	arqalcrcchekylcaiincheoliin
f1	12	23	dchottqocheoltyqokqde
f1	12	24	taiinqocheolshetyqokdeqdo
f1	12	25	eecheydeolchecheqdokoqot
f1	12	26	chdoarqokeaiintoliiny
f1	12	27	chyqiinchalaiinydaramqop
f1	12	28	qiinalokolqopainrkorshedy
f1	12	29	shqokaiinteqopshedyopshedcheolde
f1	12	30	qopainshedyopchcheoldeolainal
f1	13	1	oropshedchyalysheychedy
f1	13	2	cholydoralyshechechol
f1	13	3	amalyychecholddqok
f1	13	4	ainshchedytedchechokqokol
f1	13	5	chechtedqacheokqoll
f1	13	6	qacheqokokqoqokrlarch
f1	13	7	cheqokqordoqoqoktorchdi
f1	13	8	lqotorarrhtorarolkdor
f1	13	9	shttchdychychedkosh
f1	13	10	ditodidyydardqotarol
f1	13	11	chycheychychddorcheyqot
f1	13	12	chytichykokodolcheydy
f1	13	13	rkcheytichdlalcheytiok
f1	13	14	chyainqotrrkdocheyainlhsh
f1	13	15	rlcainlhqaolarqokdy
f1	13	16	qarkkochedykotookarshain
f1	13	17	olchyshchedyarydechedaiinshe
f1	13	18	chedyqaararoltorainchedsherk
f1	13	19	chytocholqokydarsherkky
f1	13	20	aiinrcqaiinyaiinchedytoramshedy
f1	13	21	oliinaiinaiindarqopshedychqokch
f1	13	22	alokyaiinolamkyorchcheol
f1	13	23	qokyoltoramopqokchcheole
f1	13	24	yolqopchcheoldeeolyqa
f1	13	25	shedoainokshedcheoleyych
f1	13	26	iniinchedycheoldeshedydykydor
f1	13	27	okainchedchykedorqopaldq
f1	13	28	ainkochedkeaiinqodkeshedyaiin
f1	13	29	qodorkeshedydyykoalqodar
f1	13	30	yshedqokorhaliinchshde
f1	14	1	yqokyaiinkoaiindarlokqokol
f1	14	2	dyaiinqoainlchokoldyt
f1	14	3	koainaiindarcheqokiinarolky
f1	14	4	aiinaincheiinchokaroldyaiin
f1	14	5	oldeshedkytiiindlhalch
f1	14	6	dyerclctiycheyalchche
f1	14	7	ekyqoaiincheolshetyiinchqoky
f1	14	8	aiinsheeecheqokyqdoshqotqot
f1	14	9	cheolshetyeecheddeolchelhok
f1	14	10	tytetiqdechechekotarqot
f1	14	11	cheddeamcheinkkocheolq
f1	14	12	teditootqocheyolqqokqa
f1	14	13	darainokainchedyardorlcchedyin
f1	14	14	aiiniineeoriinoloplkopsh
f1	14	15	tyeeolraloplkamshty
f1	14	16	chedorkeiindlctyrkotchy
f1	14	17	doiindrchqatyainiinok
f1	14	18	orkecheoldlceetyshchychedy
f1	14	19	dolhiinokchedydydoolch
f1	14	20	qaeechedyshchyokarqokshtor
f1	14	21	ainlhdarokchedyshedoltoainshed
f1	14	22	ardchedychedaiintoainshedqokyqo
f1	14	23	ytorolsheqodorqoelcky
f1	14	24	chsheainkylcshedkyaiintedi
f1	14	25	qokytylctirkqokykydarche
f1	14	26	tirkaiinkoainainqokolokqa
f1	14	27	tikychekytedideyokqa
f1	14	28	rktechdarqokolchedyarqachedy
f1	14	29	deyshedarshdchotqokche
f1	14	30	dyrcolainchedytechedydokain
f1	15	1	shdchotchaintteshety
f1	15	2	chedydotttesheeetetiam
f1	15	3	qokchainlaiinqokteotchechey
f1	15	4	tyeetechedamaiinkoqoptarok
f1	15	5	qochedyainoklcchedyrqchok
f1	15	6	lcchedyainrcqiinalokamain
f1	15	7	iinainrqarchedyqopaintydar
f1	15	8	orokchedyinoldoainqopokchedy
f1	15	9	amshtytorainyalcheokain
f1	15	10	amshrkkoshedycheokainko
f1	15	11	shotchyshedqdochedyainkoto
f1	15	12	ainainalainkokkeaiinqopiin
f1	15	13	aldoolkochedtokedordlc
f1	15	14	shchedychedsheddordorqokyiine
f1	15	15	ytorainshesheainshedkylcti
f1	15	16	ainshedchqoqoktshedkychede
f1	15	17	chedsheqoshedtytrktedide
f1	15	18	shrkcheaiintededyolchedysh
f1	15	19	echedoramdeshedarchedyshte
f1	15	20	eolchamainsheolshqod
f1	15	21	dychshdchedokqokchl
f1	15	22	yshechedyolainolcheokchl
f1	15	23	tedchqochlcheetear
f1	15	24	cheqacheqokqokltechdito
f1	15	25	qoqokqokchtechtoqokiaiin
f1	15	26	lrhtechdiqokicheyqopche
f1	15	27	chotqokioldoramolainqok
f1	15	28	rainchedyrkiinainrorchedyin
f1	15	29	iindarainiinrrdorlcshl
f1	15	30	aiiniineechedraloplkdosh
f2	1	1	eeorallkshtyqakootiin
f2	1	2	iinlcopdodoqashainotol
f2	1	3	iindlkdoainotolokyqok
f2	1	4	qaeecheyshchedyyqokdshch
f2	1	5	rkokddochedyolchchedtoain
f2	1	6	qadarokarshedtorolsheainshed
f2	1	7	darolshedartoraindarainshedar
f2	1	8	arshedarolaindarshearchor
f2	1	9	aindechedsheqokykyqokttich
f2	1	10	shekychorqokshtededyy
f2	1	11	arqokchechdordeychrc
f2	1	12	orshotchaindeyshercche
f2	1	13	qokcheolotolyamalysheol
f2	1	14	yqaainshechketedqache
f2	1	15	ychaltaiinchshedyqacheam
f2	1	16	olqocheamqoolrdoqoktor
f2	1	17	kearcheyyqoalrhiinorsh
f2	1	18	yqoeeqoalltishqoksh
f2	1	19	altishshttytochychch
f2	1	20	tosholshttydyyaiinko
f2	1	21	oltychydyychedshardorol
f2	1	22	shedrkcheychkodarkosholchey
f2	1	23	dishedcheolditikoaiinshtiok
f2	1	24	iinlcyaiincheylhlolokq
f2	1	25	indydochqakochedyolshqa
f2	1	26	cheoliinchchrkshedkolhokshed
f2	1	27	tedoolkoeqatoolarar
f2	1	28	chdoqokelcchytoaiinolqok
f2	1	29	ainchyrcqoliinolaiindarchedy
f2	1	30	ainiinrcqliinolaiinolam
f2	2	1	ainchalokshchedyteqoptydar
f2	2	2	qchalchedyaiinteaintydarop
f2	2	3	aiinteqoptydaroropshedoly
f2	2	4	orinchsheolamkshshe
f2	2	5	deolyqachydorainchke
f2	2	6	okchykchyainalcheyycheyy
f2	2	7	aiinqopdiincheyshedyyqoalrh
f2	2	8	qopdiinecheykeyqoqoal
f2	2	9	aldlcshedqoaiinyaiindarch
f2	2	10	iintishedyshedaiinkeaincheliin
f2	2	11	shedyqokykyykokeaiinliinsh
f2	2	12	ykoainqodarchesholdedi
f2	2	13	darainchedeeiinkycheytiaiin
f2	2	14	cheqokolokariinkylccheolshe
f2	2	15	qokolsharchedyrcotlcaiincheol
f2	2	16	arlceotkyqocheoltytiched
f2	2	17	chtaiintecheolshetyqokcheyde
f2	2	18	taiinqoteltyteamchedo
f2	2	19	aiincheoltyeechchedamotqokyche
f2	2	20	qoktedeamklhqopolqain
f2	2	21	diincheyolkdorqopokolq
f2	2	22	okshchedyalokshchedyoltedo
f2	2	23	ainchedyoralokshtedoqopain
f2	2	24	orlcokchedyshedarshediniinchedy
f2	2	25	amshainshedycheainindarko
f2	2	26	shtyotiinolshedainokchedto
f2	2	27	dainkochedkdoraldiine
f2	2	28	kochedshekedorqoiinlckeshed
f2	2	29	qtosheqoeshedshedyshedqokyky
f2	2	30	aiinshesheddorshedtishedkyaiinte
f2	3	1	chedaiinshedqokyqotyqoktikyte
f2	3	2	qokychkyrkchechaiindidych
f2	3	3	qokychqokrktedyychrcol
f2	3	4	qokchotcheaindysheydarain
f2	3	5	eolchamdeshedarolcheain
f2	3	6	olydorainshechedycholqoche
f2	3	7	amalsheykycheainqaokqok
f2	3	8	altchedydorolcheqacheamol
f2	3	9	chqocheqokamqoqokrqocheol
f2	3	10	cheyqoqaeealainorqoktt
f2	3	11	eealyoralamqokoltyty
f2	3	12	oraltolchetytochyych
f2	3	13	yalltoolshttchy
f2	3	14	qoksholshttdirkcheyko
f2	3	15	qokoltshediindicheyychko
f2	3	16	tdidirkyaiinloltiok
f2	3	17	tiinainqotchdoqaeelhsh
f2	3	18	indocheolchqaqachedyolainlh
f2	3	19	aincheolteiinrkshedolshdarol
f2	3	20	rkkoqokchedyolshdarchedyshedar
f2	3	21	iindoshedolchyollshedaraiin
f2	3	22	dartoshedaraiinaindedarchedyshe
f2	3	23	iinaiinolqoktorsherkchorqok
f2	3	24	dedarsherkqokyarchotchdor
f2	3	25	qokyarchqokqoktdordedyrc
f2	3	26	arortshotrkdoramdech
f2	3	27	qokchcheolshamsheyrcolche
f2	3	28	shotolydoralychechsh
f2	3	29	edorysheychedyolainted
f2	3	30	qaainalkychedykychqache
f2	4	1	shtchdorololqacheqoqok
f2	4	2	chchkeshedyqocheamqokolqok
f2	4	3	chyyyqarhainiinoralsh
f2	4	4	alainyaltishtshtychy
f2	4	5	qoalqooraliinsholdidi
f2	4	6	rhaiiniinchdetdichyrkchey
f2	4	7	alchtooldedichyrkcheyy
f2	4	8	iineoldytdicheychaiinaiin
f2	4	9	chokqarcshedcheyyaiinaiiniin
f2	4	10	okarqarcotiinlcsheaiinaiin
f2	4	11	lcrcotchelctcheoliintiched
f2	4	12	taiincheytichedolchecheqokydo
f2	4	13	cheolcheyqolqokycheindoqotok
f2	4	14	dydorolcholarkochedyaiinl
f2	4	15	qokrcqoliinarydetoram
f2	4	16	qokelcchyaiinchalychedyam
f2	4	17	rcqchqokdartoramqorkky
f2	4	18	lokolchedytorrkkyshedyopch
f2	4	19	chedyamrkkyshedycheolydoramal
f2	4	20	oropchchcheolchaindyychedy
f2	4	21	shedyopshedineolyyamky
f2	4	22	chcheoldeyainshtyolke
f2	4	23	inkoqokeainalyarcheyqo
f2	4	24	alqcheykeyyqoeealiin
f2	4	25	kecheyydyqooraltoqoksh
f2	4	26	kedyaiinqoaiinorliinshol
f2	4	27	yqokydykoaiinainallshol
f2	4	28	qokyyyainiinokdedyrce
f2	4	29	darcheoldishediincheolkytiaiin
f2	4	30	earqadekyaiincheolkoaiiniin
f2	5	1	okarrcrciinyaiinaiincheyti
f2	5	2	cheolaiintyaiincheytiqalchche
f2	5	3	cheollcyaiinsheaiincheytialq
f2	5	4	ycheoltiolcheqokyokaiinamtar
f2	5	5	teolkoeolqadarararol
f2	5	6	qokchedyolqadartoolaiintordar
f2	5	7	chedychyaiinqlqokydechedyam
f2	5	8	chyqtolcholqokdaramrk
f2	5	9	iinchaiinolydechedyamrkch
f2	5	10	chedyshearchchqoktoteam
f2	5	11	orqokchqokerkchedoramdi
f2	5	12	otechechaindysheyolchedy
f2	5	13	shychdorainychedyolshd
f2	5	14	dyysheyolchshqotech
f2	5	15	cheqodchechchechainiinch
f2	5	16	cheoldchokqochiinqoch
f2	5	17	kechecheamrqoqoktorartor
f2	5	18	qaqoyaltishtoolqoksh
f2	5	19	shtosholqokshtytydiy
f2	5	20	tiqokolqoktydyyydarko
f2	5	21	toyydarkosheqotdorqok
f2	5	22	eeaiiniinoplkamshshotchy
f2	5	23	doamrkqakochyshedainaindo
f2	5	24	lkdodorklhchyolokainq
f2	5	25	rkotchyainyqokalqainched
f2	5	26	ainlhshiinolokqokddoto
f2	5	27	rkainqaqokdshydochedyol
f2	5	28	oldshtorchedyolchedchedainqo
f2	5	29	dysheddordorkyiinelcti
f2	5	30	shtorainolchtoqokyshedtiky
f2	6	1	torchchedainshedarchkytrk
f2	6	2	ainqokytyqokshedtikyrkky
f2	6	3	qokqoktshchdiyydarrc
f2	6	4	orqoktotrkchdiyrcol
f2	6	5	qoktshotechdorolshqo
f2	6	6	echeamaindyydarcheted
f2	6	7	shotyamaldysheqoteche
f2	6	8	dyyshechedyolqotedqokch
f2	6	9	qoteddchechlcheoltyqok
f2	6	10	chedychqoqokainltelchedam
f2	6	11	okqokchiinqotecheolqokteot
f2	6	12	chqotechartechkikdor
f2	6	13	liinlarrharamkiaiink
f2	6	14	arqokiaiindykdorcheolcheam
f2	6	15	iindarainokshrkiinrainsh
f2	6	16	lcokshchedylteshedoainty
f2	6	17	iinddodoamshshrkkoain
f2	6	18	dopshtyainkochyshedaind
f2	6	19	dodoeetyrkainchyolaindo
f2	6	20	olokqokshalqkocheddorqo
f2	6	21	iinchyolokqokydoolchdor
