lemma	pos	meaning	freq_estimate	source
abusor	abusor		1	whitaker
abusque	ADV		2	whitaker
abut	abut		1	whitaker
abvert	abvert		1	whitaker
abyss	abyss		1	whitaker
ac	CONJ		3	whitaker
acaci	acaci		1	whitaker
academi	Academi		1	whitaker
academic	academic		1	whitaker
acalanthis	acalanthid		1	whitaker
acaleph	acaleph		1	whitaker
acan	acan		2	whitaker
acanth	acanth		2	whitaker
acanthi	acanthi		2	whitaker
acanthic	acanthic	only ~e mastiche => gum/mastich from pine-thistle/	2	whitaker
acanthillis	acanthillid		1	whitaker
acanthin	acanthin		1	whitaker
acanthis	acanthid		1	whitaker
acanthyllis	acanthyllid		1	whitaker
acapn	acapn		3	whitaker
acar	acar		1	whitaker
acarn	acarn		2	whitaker
acat	acat		1	whitaker
acatalect	acatalect		1	whitaker
acatalectic	acatalectic		1	whitaker
acatalepsi	acatalepsi		1	whitaker
acatholic	acatholic		1	whitaker
acatholice	ADV		1	whitaker
acati	acati		2	whitaker
acaunumarg	acaunumarg		1	whitaker
acaust	acaust		3	whitaker
acc	acc		1	whitaker
accan	accan		1	whitaker
accant	accant		2	whitaker
accapit	accapit		1	whitaker
acced	acced		1	whitaker
accedenter	ADV		1	whitaker
accedenti	accedenti		1	whitaker
acceler	acceler		1	whitaker
acceleratio	acceleration		1	whitaker
acceleratr	acceleratr		1	whitaker
accend	accend		1	whitaker
accendi	accendi		1	whitaker
accendo	accendon		1	whitaker
accens	accens	~ velatus => replacements	4	whitaker
accensibil	accensibil		1	whitaker
accent	accent		2	whitaker
accentiuncul	accentiuncul		1	whitaker
accentor	accentor		1	whitaker
accept	accept		4	whitaker
acceptabil	acceptabil		1	whitaker
acceptari	acceptari		1	whitaker
acceptat	acceptat		1	whitaker
acceptator	acceptator		1	whitaker
acceptilatio	acceptilation		1	whitaker
acceptio	acception		1	whitaker
acceptor	acceptor		1	whitaker
acceptori	acceptori		1	whitaker
acceptrix	acceptric		1	whitaker
accers	accers		2	whitaker
accersi	accers		1	whitaker
accersit	accersit		2	whitaker
accersitio	accersition	dies ~ => day of death	1	whitaker
accersitor	accersitor		1	whitaker
access	access		2	whitaker
accessibil	accessibil		1	whitaker
accessibilitas	accessibilitat		1	whitaker
accessio	accession		1	whitaker
accessit	accessit		1	whitaker
accessori	accessori		1	whitaker
accessorie	ADV		1	whitaker
acci	acc		2	whitaker
accid	accid		3	whitaker
accidens	accident		1	whitaker
accidental	accidental		1	whitaker
accidenti	accidenti		1	whitaker
accin	accin		1	whitaker
accinct	accinct		1	whitaker
accing	accing		1	whitaker
accipi	accip		1	whitaker
accipiter	accipitr		1	whitaker
accipitr	accipitr		1	whitaker
accipitrin	accipitrin		1	whitaker
accit	accit		2	whitaker
accitio	accition		1	whitaker
acclam	acclam		1	whitaker
acclamatio	acclamation		1	whitaker
acclar	acclar		1	whitaker
acclin	acclin		2	whitaker
accliv	accliv		2	whitaker
acclive	accliv		1	whitaker
acclivi	acclivi		1	whitaker
acclivitas	acclivitat		1	whitaker
acclud	acclud		1	whitaker
accognosc	accognosc		1	whitaker
accol	accol		2	whitaker
accolens	accolent		1	whitaker
accommod	accommod		2	whitaker
accommodat	accommodat		1	whitaker
accommodate	accommodatius		1	whitaker
accommodatio	accommodation		1	whitaker
accomod	accomod		2	whitaker
accomodat	accomodat		1	whitaker
accomodate	accomodatius		1	whitaker
accomodatio	accomodation		1	whitaker
acconger	acconger		1	whitaker
accord	accord		2	whitaker
accorde	accorde		1	whitaker
accorpor	accorpor		1	whitaker
accred	accred		1	whitaker
accresc	accresc		1	whitaker
accret	accret		1	whitaker
accretio	accretion		1	whitaker
accub	accub		1	whitaker
accubit	accubit		2	whitaker
accubitali	accubitali		1	whitaker
accubitatio	accubitation		1	whitaker
accubitio	accubition		1	whitaker
accubitori	accubitori		1	whitaker
accubo	ADV		1	whitaker
accud	accud		1	whitaker
accumb	accumb		1	whitaker
accumul	accumul		1	whitaker
accumulate	accumulatius		1	whitaker
accumulatio	accumulation		1	whitaker
accumulator	accumulator		1	whitaker
accumulatr	accumulatr		1	whitaker
accur	accur		1	whitaker
accurat	accurat		1	whitaker
accurate	accuratius		1	whitaker
accuratio	accuration		1	whitaker
accurr	accurr		2	whitaker
accurs	accurs		1	whitaker
accus	accus		1	whitaker
accusabil	accusabil		1	whitaker
accusatio	accusation		1	whitaker
accusativ	accusativ		2	whitaker
accusator	accusator		1	whitaker
accusatori	accusatori		1	whitaker
accusatorie	ADV		1	whitaker
accusatrix	accusatric		1	whitaker
accusit	accusit		1	whitaker
accuss	accuss		1	whitaker
acedi	acedi		2	whitaker
acedios	acedios		1	whitaker
acentet	acentet		1	whitaker
acephal	acephal		3	whitaker
acer	acer		3	whitaker
acerat	acerat		1	whitaker
acerb	acerb		3	whitaker
acerbe	acerbius		1	whitaker
acerbitas	acerbitat		1	whitaker
acerbitudo	acerbitudin		1	whitaker
acern	acern		1	whitaker
acerne	acerne		1	whitaker
acerni	acerni		1	whitaker
aceros	aceros		1	whitaker
acerr	acerr		1	whitaker
acersecom	acersecom		1	whitaker
acertas	acertat		1	whitaker
acerv	acerv		2	whitaker
acerval	acerval		1	whitaker
acervalis	acerval		1	whitaker
acervatim	ADV		1	whitaker
acervatio	acervation		1	whitaker
acesc	acesc		1	whitaker
acescenti	acescenti		1	whitaker
acesis	aces		1	whitaker
acet	acet		1	whitaker
acetabul	acetabul		1	whitaker
acetar	acetar		1	whitaker
acetari	acetari		1	whitaker
acetasc	acetasc		1	whitaker
acetos	acetos		1	whitaker
achaemenis	achaemenid		1	whitaker
achan	achan		1	whitaker
achant	achant		1	whitaker
achar	achar		1	whitaker
acharist	acharist		3	whitaker
achariter	ADV		1	whitaker
acharn	acharn		2	whitaker
achat	achat		1	whitaker
achet	achet		2	whitaker
achill	Achill		1	whitaker
achille	achille		1	whitaker
achilles	Achill		1	whitaker
achilleus	Achille		1	whitaker
achlis	achl		1	whitaker
achor	achor		1	whitaker
achras	achrad		1	whitaker
achynops	achynop		1	whitaker
aci	aci		2	whitaker
acicul	acicul		1	whitaker
acid	acid		2	whitaker
acidatas	acidatat		1	whitaker
acide	acidius		1	whitaker
aciditas	aciditat		1	whitaker
acidul	acidul		1	whitaker
acin	acin		4	whitaker
acinaces	acinac		1	whitaker
acinari	acinari		1	whitaker
acinatici	acinatici		1	whitaker
acinos	acinos		1	whitaker
acipenser	acipenser		1	whitaker
acipensis	acipens		1	whitaker
acisculari	acisculari		1	whitaker
acistari	acistari		1	whitaker
acisul	acisul		1	whitaker
aclassis	aclass		1	whitaker
aclouthi	aclouthi		1	whitaker
aclys	aclyd		1	whitaker
acn	acn		1	whitaker
acnu	acnu		1	whitaker
acoenonet	acoenonet		1	whitaker
acoenonoet	acoenonoet		1	whitaker
acoetis	acoet		1	whitaker
acolit	acolit		1	whitaker
acoluth	acoluth		1	whitaker
acolyt	acolyt		1	whitaker
acolyth	acolyth		1	whitaker
acon	acon		1	whitaker
aconit	aconit		2	whitaker
aconiti	ADV		1	whitaker
aconti	aconti		1	whitaker
acontiz	acontiz		1	whitaker
acop	acop		2	whitaker
acor	acor		5	whitaker
acori	acori		1	whitaker
acorn	acorn		1	whitaker
acosm	acosm		2	whitaker
acquiesc	acquiesc		2	whitaker
acquir	acquir		1	whitaker
acquisit	acquisit		1	whitaker
acquisitio	acquisition		1	whitaker
acquisitrix	acquisitric		1	whitaker
acr	acr		2	whitaker
acratophor	acratophor		1	whitaker
acredo	acredin		1	whitaker
acredul	acredul		1	whitaker
acricul	acricul		1	whitaker
acridi	acridi		1	whitaker
acrifoli	acrifoli		1	whitaker
acrimoni	acrimoni		1	whitaker
acritas	acritat		1	whitaker
acriter	acrius		1	whitaker
acritudo	acritudin		1	whitaker
acro	acron		1	whitaker
acroama	acroamat		1	whitaker
acroamatari	acroamatari		1	whitaker
acroamatic	acroamatic		1	whitaker
acroasis	acroas		1	whitaker
acroatic	acroatic		1	whitaker
acrobat	acrobat		1	whitaker
acrobatic	acrobatic		1	whitaker
acrochordon	acrochordon		2	whitaker
acrocolefi	acrocolefi		1	whitaker
acrocori	acrocori		1	whitaker
acrolith	acrolith		3	whitaker
acron	acron		1	whitaker
acropodi	acropodi		1	whitaker
acror	acror		1	whitaker
acroteri	acroteri		1	whitaker
acrozym	acrozym		1	whitaker
acrufoli	acrufoli		1	whitaker
acsi	CONJ		1	whitaker
act	N	Acta Apostolorum => Acts, book of the Bible	6	whitaker
actae	actae		1	whitaker
actari	actari		1	whitaker
actinophor	actinophor		1	whitaker
actinos	actinos		1	whitaker
actio	action		1	whitaker
actionari	actionari		1	whitaker
actit	actit		1	whitaker
actiuncul	actiuncul		1	whitaker
activ	activ		1	whitaker
active	ADV		1	whitaker
activitas	activitat		1	whitaker
actor	actor		2	whitaker
actori	actori		1	whitaker
actrix	actric		1	whitaker
actu	ADV		2	whitaker
actual	actual		1	whitaker
actualitas	actualitat		1	whitaker
actualiter	ADV		1	whitaker
actuari	actuari		4	whitaker
actuariol	actuariol		2	whitaker
actum	ADV		1	whitaker
actuos	actuos		1	whitaker
actuose	ADV		1	whitaker
actuositas	actuositat		1	whitaker
actutum	ADV		1	whitaker
acu	acu		2	whitaker
acuari	acuari		1	whitaker
acuitas	acuitat		1	whitaker
acul	acul		2	whitaker
acule	acule		1	whitaker
aculeat	aculeat		1	whitaker
aculeol	aculeol		1	whitaker
acumen	acumin		1	whitaker
acumin	acumin		1	whitaker
acuminari	acuminari	mola ~ => stone for sharpening weapons	1	whitaker
acuminat	acuminat		1	whitaker
acun	acun		1	whitaker
acupedi	acupedi		1	whitaker
acupenser	acupenser		1	whitaker
acupensis	acupens		1	whitaker
acupictur	acupictur		1	whitaker
acupunctur	acupunctur		1	whitaker
acus	acer		1	whitaker
acustic	acustic		1	whitaker
acut	acut		2	whitaker
acutal	acutal		1	whitaker
acutale	ADV		1	whitaker
acutar	acutar		1	whitaker
acutat	acutat		1	whitaker
acute	acutius		1	whitaker
acutor	acutor		1	whitaker
acutul	acutul		1	whitaker
acutule	ADV		1	whitaker
acyl	acyl		1	whitaker
acyrologi	acyrologi		1	whitaker
acysteri	acysteri		1	whitaker
ad	ADV		2	whitaker
adact	adact		1	whitaker
adactio	adaction		1	whitaker
adadunephr	adadunephr		1	whitaker
adaequ	adaequ		1	whitaker
adaequat	adaequat		1	whitaker
adaequate	ADV		1	whitaker
adaequatio	adaequation		1	whitaker
adaeque	ADV		1	whitaker
adaer	adaer		1	whitaker
adaeratio	adaeration		1	whitaker
adaestu	adaestu		1	whitaker
adagger	adagger		1	whitaker
adagi	adagi		1	whitaker
adagio	adagion		1	whitaker
adagnitio	adagnition		1	whitaker
adalgid	adalgid		1	whitaker
adallig	adallig		1	whitaker
adam	N	NOM S => Adam, not Ada (otherwise 1 DECL Ad...)	3	whitaker
adamante	adamante		1	whitaker
adamantin	adamantin		1	whitaker
adamantis	adamantid		1	whitaker
adamas	adamant		1	whitaker
adamator	adamator		1	whitaker
adambul	adambul		1	whitaker
adampli	adampli		1	whitaker
adamussim	ADV		1	whitaker
adapatio	adapation		1	whitaker
adaperi	adaper		2	whitaker
adapertil	adapertil		1	whitaker
adapertio	adapertion		1	whitaker
adapertiv	adapertiv		1	whitaker
adapt	adapt		1	whitaker
adaptert	adaptert		1	whitaker
adaqu	adaqu		2	whitaker
adar	N		2	whitaker
adarc	adarc		2	whitaker
adaresc	adaresc		1	whitaker
adariari	adariari		1	whitaker
adauct	adauct		2	whitaker
adauctor	adauctor		1	whitaker
adaug	adaug		1	whitaker
adaugesc	adaugesc		1	whitaker
adaugmen	adaugmin		1	whitaker
adbell	adbell		1	whitaker
adbib	adbib		1	whitaker
adbit	adbit		1	whitaker
adblater	adblater		1	whitaker
adbrevi	adbrevi		1	whitaker
adbreviat	adbreviat		1	whitaker
adbreviatio	adbreviation		1	whitaker
adbreviator	adbreviator		1	whitaker
adced	adced		1	whitaker
adcedenter	ADV		1	whitaker
adcedenti	adcedenti		1	whitaker
adceler	adceler		1	whitaker
adceleratio	adceleration		1	whitaker
adcess	adcess		1	whitaker
adcessibil	adcessibil		1	whitaker
adcessibilitas	adcessibilitat		1	whitaker
adcessio	adcession		1	whitaker
adcessit	adcessit		1	whitaker
adcessitio	adcessition	dies ~ => day of death	1	whitaker
adcessitor	adcessitor		1	whitaker
adclam	adclam		1	whitaker
adclamatio	adclamation		1	whitaker
adclar	adclar		1	whitaker
adclin	adclin		2	whitaker
adcliv	adcliv		2	whitaker
adclive	adcliv		1	whitaker
adclivitas	adclivitat		1	whitaker
adclud	adclud		1	whitaker
adcognosc	adcognosc		1	whitaker
adcol	adcol		2	whitaker
adcolens	adcolent		1	whitaker
adcommod	adcommod		2	whitaker
adcommodat	adcommodat		1	whitaker
adcommodate	adcommodatius		1	whitaker
adcommodatio	adcommodation		1	whitaker
adcred	adcred		1	whitaker
adcresc	adcresc		1	whitaker
adcret	adcret		1	whitaker
adcretio	adcretion		1	whitaker
adcubit	adcubit		1	whitaker
adcubitio	adcubition		1	whitaker
adcubitori	adcubitori		1	whitaker
adcubo	ADV		1	whitaker
adcud	adcud		1	whitaker
adcumb	adcumb		1	whitaker
adcumul	adcumul		1	whitaker
adcumulate	adcumulatius		1	whitaker
adcumulatio	adcumulation		1	whitaker
adcumulator	adcumulator		1	whitaker
adcur	adcur		1	whitaker
adcurat	adcurat		1	whitaker
adcurate	adcuratius		1	whitaker
adcuratio	adcuration		1	whitaker
adcurr	adcurr		2	whitaker
adcurs	adcurs		1	whitaker
add	add		1	whitaker
addax	addac		1	whitaker
addec	addec		1	whitaker
addecim	addecim		1	whitaker
addend	addend		1	whitaker
addens	addens		2	whitaker
addic	addic		1	whitaker
addict	addict		3	whitaker
addictio	addiction		1	whitaker
addisc	addisc		1	whitaker
additament	additament		1	whitaker
additici	additici		1	whitaker
additio	addition		1	whitaker
addititi	addititi		1	whitaker
additiv	additiv		1	whitaker
addivin	addivin		1	whitaker
addoc	addoc		1	whitaker
addormi	addorm		1	whitaker
addormisc	addormisc		1	whitaker
addubit	addubit		1	whitaker
adduc	adduc		1	whitaker
adduct	adduct		1	whitaker
adducte	adductius		1	whitaker
adductor	adductor		1	whitaker
ade	adi		1	whitaker
aded	aded		2	whitaker
adelphis	adelphid		1	whitaker
ademptio	ademption		1	whitaker
ademptor	ademptor		1	whitaker
adeo	ADV		1	whitaker
adeps	adip		1	whitaker
adept	adept		1	whitaker
adeptio	adeption		1	whitaker
adequit	adequit		1	whitaker
aderator	aderator		1	whitaker
aderr	aderr		1	whitaker
ades	ades	adesi lapides => smooth/polished	1	whitaker
adesc	adesc		1	whitaker
adessuri	adessur		1	whitaker
adesuri	adesur		1	whitaker
adf	adf		1	whitaker
adfaber	adfabr		1	whitaker
adfabil	adfabil		1	whitaker
adfabilitas	adfabilitat		1	whitaker
adfabiliter	adfabilitius		1	whitaker
adfabre	ADV		1	whitaker
adfabricat	adfabricat		1	whitaker
adfamen	adfamin		1	whitaker
adfani	adfani		1	whitaker
adfat	adfat		1	whitaker
adfatim	ADV		1	whitaker
adfect	adfect		5	whitaker
adfectat	adfectat		1	whitaker
adfectatio	adfectation		1	whitaker
adfectato	ADV		1	whitaker
adfectator	adfectator		1	whitaker
adfecte	ADV		1	whitaker
adfectio	adfection		1	whitaker
adfectios	adfectios		2	whitaker
adfectiose	ADV		2	whitaker
adfectrix	adfectric		1	whitaker
adfectual	adfectual		1	whitaker
adfectuos	adfectuos		2	whitaker
adfectuose	ADV		2	whitaker
adfer	adfer		1	whitaker
adfici	adfic		1	whitaker
adfictici	adfictici		1	whitaker
adfig	adfig		1	whitaker
adfigur	adfigur		1	whitaker
adfin	adfin		1	whitaker
adfing	adfing		1	whitaker
adfinis	adfin		1	whitaker
adfinitas	adfinitat		1	whitaker
adfirm	adfirm		1	whitaker
adfirmanter	ADV		1	whitaker
adfirmate	ADV		1	whitaker
adfirmatio	adfirmation		1	whitaker
adfirmativ	adfirmativ		1	whitaker
adfirmator	adfirmator		1	whitaker
adfix	adfix		2	whitaker
adfixio	adfixion		1	whitaker
adfl	adfl		2	whitaker
adflagrans	adflagrant		1	whitaker
adflat	adflat		1	whitaker
adflator	adflator		1	whitaker
adflect	adflect		1	whitaker
adflict	adflict		3	whitaker
adflictatio	adflictation		1	whitaker
adflictator	adflictator		1	whitaker
adflictio	adfliction		1	whitaker
adflictor	adflictor		1	whitaker
adflictrix	adflictric		2	whitaker
adflig	adflig		1	whitaker
adflu	adflu		1	whitaker
adfluens	adfluent		1	whitaker
adfluente	adfluentius		1	whitaker
adfluenter	adfluentius		1	whitaker
adfluenti	adfluenti		1	whitaker
adfodi	adfod		1	whitaker
adformid	adformid		1	whitaker
adfrang	adfrang		1	whitaker
adfrem	adfrem		1	whitaker
adfri	adfri		1	whitaker
adfric	adfric		2	whitaker
adfricatio	adfrication		1	whitaker
adfrict	adfrict		1	whitaker
adfring	adfring		1	whitaker
adfu	adfu		1	whitaker
adfulg	adfulg		1	whitaker
adfund	adfund		2	whitaker
adgaud	adgaud		1	whitaker
adgem	adgem		1	whitaker
adgener	adgener		1	whitaker
adgenicul	adgenicul		1	whitaker
adger	adger		3	whitaker
adgeratim	ADV		1	whitaker
adgeratio	adgeration		1	whitaker
adgest	adgest		3	whitaker
adgestim	ADV		1	whitaker
adgestio	adgestion		1	whitaker
adglomer	adglomer		1	whitaker
adglutin	adglutin		1	whitaker
adgnasc	adgnasc		1	whitaker
adgnat	adgnat		4	whitaker
adgnatici	adgnatici	~ jus => right of agnati to inherit	1	whitaker
adgnatio	adgnation		1	whitaker
adgnit	adgnit		1	whitaker
adgnitio	adgnition		1	whitaker
adgnitor	adgnitor		1	whitaker
adgnomen	adgnomin		1	whitaker
adgnoment	adgnoment		1	whitaker
adgnosc	adgnosc		1	whitaker
adgratul	adgratul		1	whitaker
adgrav	adgrav		1	whitaker
adgravesc	adgravesc		1	whitaker
adgredi	adgred		2	whitaker
adgreg	adgreg		1	whitaker
adgress	adgress		1	whitaker
adgressio	adgression		1	whitaker
adgressor	adgressor		1	whitaker
adgressur	adgressur		1	whitaker
adgubern	adgubern		1	whitaker
adhaer	adhaer		1	whitaker
adhaeresc	adhaeresc		1	whitaker
adhaes	adhaes		1	whitaker
adhaese	ADV		1	whitaker
adhaesio	adhaesion		1	whitaker
adhaesion	adhaesion		1	whitaker
adhaesiv	adhaesiv		1	whitaker
adhal	adhal		1	whitaker
adham	adham		1	whitaker
adher	adher		1	whitaker
adheresc	adheresc		1	whitaker
adhib	adhib		1	whitaker
adhibitio	adhibition		1	whitaker
adhinni	adhinn		1	whitaker
adhoc	ADV		1	whitaker
adhorr	adhorr		1	whitaker
adhort	adhort		1	whitaker
adhortamen	adhortamin		1	whitaker
adhortat	adhortat		1	whitaker
adhortatio	adhortation		1	whitaker
adhortativ	adhortativ	~ modus => encouraging mood	1	whitaker
adhortator	adhortator		1	whitaker
adhospit	adhospit		1	whitaker
adhuc	ADV		1	whitaker
adhucine	ADV		1	whitaker
adiant	adiant		1	whitaker
adiaphor	adiaphor		2	whitaker
adibil	adibil		1	whitaker
adici	adic		1	whitaker
adig	adig		1	whitaker
adim	adim		1	whitaker
adimpl	adimpl		1	whitaker
adimplement	adimplement		1	whitaker
adimpletio	adimpletion		1	whitaker
adimpletor	adimpletor		1	whitaker
adincresc	adincresc		1	whitaker
adind	adind		1	whitaker
adinfl	adinfl		1	whitaker
adinger	adinger		1	whitaker
adinquir	adinquir		1	whitaker
adinspect	adinspect		1	whitaker
adinstar	ADJ		1	whitaker
adinveni	adinven		1	whitaker
adinvent	adinvent		1	whitaker
adinventio	adinvention		1	whitaker
adinventor	adinventor		1	whitaker
adinvicem	ADV		1	whitaker
adipat	adipat		2	whitaker
adipe	adipe		1	whitaker
adipisc	adipisc		1	whitaker
adips	adip		3	whitaker
adipsathe	adipsathe		2	whitaker
